peak_rank,peak_name,peak_elevation_ft,peak_range,route_name,is_standard,is_snow_climb,is_primary_for_peak,route_summits,difficulty,elevation_gain,distance,exposure,rockfall,route_finding,commitment,route_key,peak_id,peak_slug,road_difficulty
12,Torreys Peak,14272,Front Range,Torreys Peak - West Ridge,false,false,true,Torreys Peak,Class 2,"5,500'",10 mi,Moderate,Moderate,Moderate,Considerable,torr11,10011,torreys-peak,0
13,Mount Antero,14271,Sawatch Range,Mt. Antero - West Slopes,true,false,true,Mt. Antero,Class 2,"5,200'",15.5 mi,Moderate,Moderate,Low,Moderate,ante1,10010,mount-antero,4
13,Mount Antero,14271,Sawatch Range,Mt. Antero - Via Little Browns Creek,false,false,true,Mt. Antero,Class 2,"5,550'",16.25 mi,Moderate,Moderate,Moderate,Moderate,ante2,10010,mount-antero,1
14,Mount Blue Sky,14268,Front Range,"Combo: Bierstadt, Sawtooth, Blue Sky",true,false,false,COMBO,Class 3,"3,900'",10.5 mi,Considerable,Considerable,Considerable,High,bier4,10014,mount-blue-sky,0
14,Mount Blue Sky,14268,Front Range,Mt. Bierstadt - West Slopes,true,false,false,Mt. Bierstadt,Class 2,"2,850'",7.25 mi,Low,Moderate,Low,Low,bier1,10014,mount-blue-sky,0
14,Mount Blue Sky,14268,Front Range,Mt. Blue Sky - West Ridge from Summit Lake,true,false,true,Mt. Blue Sky,Class 2,"2,000'",5.5 mi,Moderate,Moderate,Moderate,Moderate,evan2,10014,mount-blue-sky,0
14,Mount Blue Sky,14268,Front Range,Combo: Tour de Abyss Loop,false,false,false,COMBO,Class 3,"3,000'",5.75 mi,Considerable,Considerable,Considerable,High,bier5,10014,mount-blue-sky,0
14,Mount Blue Sky,14268,Front Range,Mt. Bierstadt - East Ridge,false,false,false,Mt. Bierstadt,Class 3,"3,000'",5 mi,Considerable,Considerable,Considerable,Considerable,bier3,10014,mount-blue-sky,0
14,Mount Blue Sky,14268,Front Range,Mt. Bierstadt - South Ridge,false,false,false,Mt. Bierstadt,Class 2,"4,500'",14.25 mi,Moderate,Moderate,Considerable,Moderate,bier6,10014,mount-blue-sky,0
14,Mount Blue Sky,14268,Front Range,Mt. Blue Sky - North Face Moderate,false,true,true,Mt. Blue Sky,Class 3 Moderate Snow,"1,500'",2 mi,Considerable,Considerable,Low,Moderate,evan7,10014,mount-blue-sky,0
14,Mount Blue Sky,14268,Front Range,Mt. Blue Sky - North Face Steep,false,true,true,Mt. Blue Sky,Class 3 Steep Snow,"1,500'",2 mi,High,Considerable,Moderate,Moderate,evan8,10014,mount-blue-sky,0
14,Mount Blue Sky,14268,Front Range,Mt. Blue Sky - West Gully,false,true,true,Mt. Blue Sky,Class 3 Steep Snow,"1,650'",5.25 mi,High,Considerable,Moderate,Moderate,evan4,10014,mount-blue-sky,0
